,player,pos,year,bodyfat%,hand_len_in,hand_width_in,height_wo_shoes,height_w_shoes,standing_reach,weight_lbs,wingspan,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps
0,Malik Allen,PF-C,2000-01,,,,80.25,,109.0,271.0,86.5,11.83,,3.38,25.5,29.0,13.0
1,Harold Arceneaux,SG-SF,2000-01,,,,76.5,,103.0,219.0,80.5,13.8,,,,29.0,
2,Lamont Barnes,PF-C,2000-01,,,,80.5,,108.0,235.5,87.5,12.3,,3.4,28.0,29.5,10.0
3,Mario Bland,PF,2000-01,,,,77.5,,103.0,287.0,84.0,13.04,,3.47,27.0,31.0,15.0
4,Primoz Brezec,C,2000-01,,,,84.75,,110.0,243.0,86.0,11.53,,3.55,26.0,29.5,
5,Ernest Brown,C,2000-01,,,,82.0,,109.5,222.5,85.25,,,,,,2.0
6,Speedy Claxton,PG,2000-01,,,,70.5,,94.5,166.0,72.0,10.48,,3.06,36.0,42.5,6.0
7,Eric Coley,SG-SF,2000-01,,,,76.0,,102.0,205.0,83.0,11.4,,3.15,35.0,38.0,10.0
8,Ed Cota,PG,2000-01,,,,72.25,,96.5,189.0,76.0,10.98,,3.24,26.5,33.5,1.0
9,Schea Cotton,SF,2000-01,,,,76.25,,100.0,219.5,79.0,11.55,,3.0,34.0,38.0,19.0
10,Jamal Crawford,PG-SG,2000-01,,,,76.5,,102.5,175.0,82.0,,,,,,
11,Caswell Cyrus,PF,2000-01,,,,79.75,,107.5,220.5,86.0,12.12,,3.16,33.5,37.5,18.0
12,Khalid El-Amin,PG,2000-01,,,,69.0,,93.0,200.0,73.5,10.59,,3.32,27.5,32.0,6.0
13,Vassil Evtimov,PF,2000-01,,,,81.75,,106.5,262.0,82.5,11.75,,3.52,21.0,28.5,13.0
14,Antonis Fotsis,SF,2000-01,,,,81.25,,106.0,219.0,80.5,11.6,,3.44,27.0,30.0,2.0
15,Eddie Gill,PG,2000-01,,,,71.75,,93.0,176.0,76.0,11.12,,3.18,35.0,38.5,13.0
16,Ceedric Goodwyn,SF-PF,2000-01,,,,78.0,,104.5,238.0,82.0,,,,,,
17,Marcus Goree,SF-PF,2000-01,,,,79.5,,105.5,239.0,84.5,12.0,,3.25,29.5,33.5,13.0
18,A.J. Granger,SF,2000-01,,,,79.5,,103.0,227.0,81.5,10.73,,3.25,30.0,34.0,20.0
