player,pos,year,bodyfat%,hand_len_in,hand_width_in,height_wo_shoes,height_w_shoes,standing_reach,weight_lbs,wingspan,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps
Malik Allen,PF-C,2000-01,-%,-,-,6' 8.25'',,9' 1'',271,7' 2.5'',11.83,-,3.38,25.5,29,13
Harold Arceneaux,SG-SF,2000-01,-%,-,-,6' 4.5'',,8' 7'',219,6' 8.5'',13.8,-,-,-,29,-
Lamont Barnes,PF-C,2000-01,-%,-,-,6' 8.5'',,9' 0'',235.5,7' 3.5'',12.3,-,3.4,28,29.5,10
Mario Bland,PF,2000-01,-%,-,-,6' 5.5'',,8' 7'',287,7' 0'',13.04,-,3.47,27,31,15
Primoz Brezec,C,2000-01,-%,-,-,7' 0.75'',,9' 2'',243,7' 2'',11.53,-,3.55,26,29.5,-
Ernest Brown,C,2000-01,-%,-,-,6' 10'',,9' 1.5'',222.5,7' 1.25'',-,-,-,-,-,2
Speedy Claxton,PG,2000-01,-%,-,-,5' 10.5'',,7' 10.5'',166,6' 0'',10.48,-,3.06,36,42.5,6
Eric Coley,SG-SF,2000-01,-%,-,-,6' 4'',,8' 6'',205,6' 11'',11.4,-,3.15,35,38,10
Ed Cota,PG,2000-01,-%,-,-,6' 0.25'',,8' 0.5'',189,6' 4'',10.98,-,3.24,26.5,33.5,1
Schea Cotton,SF,2000-01,-%,-,-,6' 4.25'',,8' 4'',219.5,6' 7'',11.55,-,3,34,38,19
Jamal Crawford,PG-SG,2000-01,-%,-,-,6' 4.5'',,8' 6.5'',175,6' 10'',-,-,-,-,-,-
Caswell Cyrus,PF,2000-01,-%,-,-,6' 7.75'',,8' 11.5'',220.5,7' 2'',12.12,-,3.16,33.5,37.5,18
Khalid El-Amin,PG,2000-01,-%,-,-,5' 9'',,7' 9'',200,6' 1.5'',10.59,-,3.32,27.5,32,6
Vassil Evtimov,PF,2000-01,-%,-,-,6' 9.75'',,8' 10.5'',262,6' 10.5'',11.75,-,3.52,21,28.5,13
Antonis Fotsis,SF,2000-01,-%,-,-,6' 9.25'',,8' 10'',219,6' 8.5'',11.6,-,3.44,27,30,2
Eddie Gill,PG,2000-01,-%,-,-,5' 11.75'',,7' 9'',176,6' 4'',11.12,-,3.18,35,38.5,13
Ceedric Goodwyn,SF-PF,2000-01,-%,-,-,6' 6'',,8' 8.5'',238,6' 10'',-,-,-,-,-,-
Marcus Goree,SF-PF,2000-01,-%,-,-,6' 7.5'',,8' 9.5'',239,7' 0.5'',12,-,3.25,29.5,33.5,13
A.J. Granger,SF,2000-01,-%,-,-,6' 7.5'',,8' 7'',227,6' 9.5'',10.73,-,3.25,30,34,20
A.J. Guyton,PG-SG,2000-01,-%,-,-,6' 0.75'',,8' 1.5'',175,6' 3.75'',10.55,-,3.22,33,37.5,9
Ron Hale,SG-SF,2000-01,-%,-,-,6' 7.5'',,8' 8.5'',202,6' 11'',12.58,-,3.2,29.5,34.5,11
Jason Hart,PG,2000-01,-%,-,-,6' 1.75'',,8' 1.5'',181,6' 6'',11.7,-,3.34,29.5,33.5,9
Donnell Harvey,PF,2000-01,-%,-,-,6' 7.25'',,8' 9.5'',220,7' 0.5'',11.23,-,-,33,32.5,15
Johnny Hemsley,SG-SF,2000-01,-%,-,-,6' 2.75'',,8' 4.5'',200,6' 8'',11.5,-,3.19,31.5,35,5
Michael Hermon,SG-PG,2000-01,-%,-,-,6' 2.75'',,8' 2.5'',195,6' 6.25'',11.79,-,3.25,29,33,-
Cory Hightower,SG-SF,2000-01,-%,-,-,6' 5.5'',,8' 5.5'',183,6' 11'',11.92,-,3.37,29.5,34.5,-
Shaheen Holloway,PG,2000-01,-%,-,-,5' 9.5'',,7' 7'',174,5' 10'',11.22,-,3.32,-,-,6
Eddie House,SG-PG,2000-01,-%,-,-,5' 11.75'',,7' 11'',176.5,6' 3.5'',11.12,-,3.27,29.5,38.5,5
Jimmie Hunter,SG-PG,2000-01,-%,-,-,6' 3'',,8' 4'',170,6' 8'',11.23,-,3.35,29,36,-
Jacob Jaacks,PF,2000-01,-%,-,-,6' 9.25'',,8' 9.5'',238,6' 11'',11.48,-,3.58,26,32,3
Marko Jaric,SG-SF,2000-01,-%,-,-,6' 6.5'',,8' 8'',210,6' 9'',11.32,-,3.28,27.5,33,-
Nate Johnson,SF,2000-01,-%,-,-,6' 6.5'',,8' 8'',211.5,6' 8.5'',11.9,-,3.33,27,33.5,13
Kenyon Jones,PF-C,2000-01,-%,-,-,6' 9'',,9' 0'',282,7' 1'',12.44,-,3.6,28.5,30,20
Mark Karcher,SG,2000-01,-%,-,-,6' 4'',,8' 6.5'',218,6' 8'',11.51,-,3.4,27.5,30.5,12
Brandon Kurtz,PF-C,2000-01,-%,-,-,6' 9.5'',,8' 10.5'',257,6' 11.25'',-,-,-,-,-,7
Dan Langhi,SF,2000-01,-%,-,-,6' 9'',,8' 8'',197.5,6' 8'',10.85,-,3.24,31,34.5,12
Justin Love,PG-SG,2000-01,-%,-,-,6' 1.5'',,8' 1.5'',205.5,6' 4.5'',10.99,-,3.31,31,38.5,24
Mark Madsen,PF,2000-01,-%,-,-,6' 8'',,8' 8.5'',236.5,7' 0.5'',12.12,-,3.46,30.5,33.5,13
Dan McClintock,C-PF,2000-01,-%,-,-,6' 11'',,8' 11'',250,7' 1.5'',11.52,-,3.33,33,35,20
Pete Mickeal,SG-SF,2000-01,-%,-,-,6' 5'',,8' 7.5'',222,6' 9.5'',10.83,-,3.06,28,34.5,8
Brian Montonati,PF,2000-01,-%,-,-,6' 8.75'',,8' 10'',215,6' 10.5'',11.85,-,3.53,25,29,5
Gabe Muoneke,PF-SF,2000-01,-%,-,-,6' 6.25'',,8' 9'',244,7' 0.5'',11,-,3.4,30.5,34,22
