Rk,Season,Team,W,G,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,MOV,SOS,SRS,Pace,ORtg,DRtg,TOV%,ORB%,DRB%,FTr
1,2015-16,GSW,73,82,9,0.89,19880,3489,7159,2412,4567,1077,2592,1366,1790,816,2972,3788,2373,689,498,1245,1701,9421,0.487,0.528,0.416,0.763,0.593,0.563,10.76,-0.38,10.38,99.3,114.5,103.8,13.5,23.5,76,0.25
2,1995-96,CHI,72,82,10,0.878,19730,3293,6892,2749,5543,544,1349,1495,2004,1247,2411,3658,2033,745,345,1175,1807,8625,0.478,0.496,0.403,0.746,0.555,0.517,12.24,-0.44,11.8,91.1,115.2,101.8,13.1,36.9,71.1,0.291
3,1996-97,CHI,69,82,13,0.841,19730,3277,6923,2754,5520,523,1403,1381,1848,1235,2461,3696,2142,716,332,1109,1617,8458,0.473,0.499,0.373,0.747,0.547,0.511,10.8,-0.11,10.7,90,114.4,102.4,12.5,35.9,69.3,0.267
4,2016-17,GSW,67,82,15,0.817,19780,3532,7140,2550,4578,982,2562,1457,1850,770,2873,3643,2491,785,555,1211,1585,9503,0.495,0.557,0.383,0.788,0.597,0.563,11.63,-0.28,11.35,99.8,115.6,104,13.2,22.8,74.9,0.259
5,2015-16,SAS,67,82,15,0.817,19705,3289,6797,2719,5279,570,1518,1342,1672,770,2831,3601,2010,677,485,1071,1433,8490,0.484,0.515,0.375,0.803,0.564,0.526,10.63,-0.36,10.28,93.8,110.3,99,12.4,23,79.1,0.246
6,2014-15,GSW,67,82,15,0.817,19730,3410,7137,2527,4920,883,2217,1313,1709,853,2814,3667,2248,762,496,1185,1628,9016,0.478,0.514,0.398,0.768,0.571,0.54,10.1,-0.09,10.01,98.3,111.6,101.4,13.1,24.1,74.5,0.239
7,2006-07,DAL,67,82,15,0.817,19755,3010,6442,2475,5038,535,1404,1646,2045,920,2515,3435,1632,560,408,1140,1837,8201,0.467,0.491,0.381,0.805,0.559,0.509,7.22,0.06,7.28,89.5,111.3,103.2,13.4,28.7,75,0.317
8,1999-00,LAL,67,82,15,0.817,19805,3137,6836,2793,5789,344,1047,1649,2368,1117,2738,3855,1921,613,534,1143,1841,8267,0.459,0.482,0.329,0.696,0.525,0.484,8.55,-0.14,8.41,93.3,107.3,98.2,12.7,30.6,73.1,0.346
9,1991-92,CHI,67,82,15,0.817,19830,3643,7168,3505,6714,138,454,1587,2132,1173,2439,3612,2279,672,480,1088,1693,9011,0.508,0.522,0.304,0.744,0.556,0.518,10.44,-0.37,10.07,94.4,115.5,104.5,11.8,35.1,69.3,0.297
10,1985-86,BOS,67,82,15,0.817,19855,3718,7312,3580,6919,138,393,1785,2248,1054,2753,3807,2387,641,511,1360,1756,9359,0.508,0.517,0.351,0.794,0.564,0.518,9.41,-0.36,9.06,101.2,111.8,102.6,14.1,31.3,71.7,0.307
