player,pos,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps,year
Malik Allen,PF-C,11.83,-,3.38,25.5,29.0,13,2000-01
Harold Arceneaux,SG-SF,13.80,-,-,-,29.0,-,2000-01
Lamont Barnes,PF-C,12.30,-,3.40,28.0,29.5,10,2000-01
Mario Bland,PF,13.04,-,3.47,27.0,31.0,15,2000-01
Primoz Brezec,C,11.53,-,3.55,26.0,29.5,-,2000-01
Ernest Brown,C,-,-,-,-,-,2,2000-01
Speedy Claxton,PG,10.48,-,3.06,36.0,42.5,6,2000-01
Eric Coley,SG-SF,11.40,-,3.15,35.0,38.0,10,2000-01
Ed Cota,PG,10.98,-,3.24,26.5,33.5,1,2000-01
Schea Cotton,SF,11.55,-,3.00,34.0,38.0,19,2000-01
Jamal Crawford,PG-SG,-,-,-,-,-,-,2000-01
Caswell Cyrus,PF,12.12,-,3.16,33.5,37.5,18,2000-01
Khalid El-Amin,PG,10.59,-,3.32,27.5,32.0,6,2000-01
Vassil Evtimov,PF,11.75,-,3.52,21.0,28.5,13,2000-01
Antonis Fotsis,SF,11.60,-,3.44,27.0,30.0,2,2000-01
Eddie Gill,PG,11.12,-,3.18,35.0,38.5,13,2000-01
Ceedric Goodwyn,SF-PF,-,-,-,-,-,-,2000-01
Marcus Goree,SF-PF,12.00,-,3.25,29.5,33.5,13,2000-01
A.J. Granger,SF,10.73,-,3.25,30.0,34.0,20,2000-01
A.J. Guyton,PG-SG,10.55,-,3.22,33.0,37.5,9,2000-01
Ron Hale,SG-SF,12.58,-,3.20,29.5,34.5,11,2000-01
Jason Hart,PG,11.70,-,3.34,29.5,33.5,9,2000-01
Donnell Harvey,PF,11.23,-,-,33.0,32.5,15,2000-01
Johnny Hemsley,SG-SF,11.50,-,3.19,31.5,35.0,5,2000-01
Michael Hermon,SG-PG,11.79,-,3.25,29.0,33.0,-,2000-01
Cory Hightower,SG-SF,11.92,-,3.37,29.5,34.5,-,2000-01
Shaheen Holloway,PG,11.22,-,3.32,-,-,6,2000-01
Eddie House,SG-PG,11.12,-,3.27,29.5,38.5,5,2000-01
Jimmie Hunter,SG-PG,11.23,-,3.35,29.0,36.0,-,2000-01
Jacob Jaacks,PF,11.48,-,3.58,26.0,32.0,3,2000-01
Marko Jaric,SG-SF,11.32,-,3.28,27.5,33.0,-,2000-01
Nate Johnson,SF,11.90,-,3.33,27.0,33.5,13,2000-01
Kenyon Jones,PF-C,12.44,-,3.60,28.5,30.0,20,2000-01
Mark Karcher,SG,11.51,-,3.40,27.5,30.5,12,2000-01
Brandon Kurtz,PF-C,-,-,-,-,-,7,2000-01
Dan Langhi,SF,10.85,-,3.24,31.0,34.5,12,2000-01
