Rk,Player,WS,MP/G,Season,Age,Team,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional
1,Michael Jordan,21.2,40.4,1987-88,24,CHI,82,82,1,21.2,123,101,15.2,6.1,.308,8.8,4.2,13.0,12.5,31.7,4.8,10.7,7.8,27.0,3.9,2.4,9.6,34.1,G-F,jordami01
2,Michael Jordan,20.4,37.7,1995-96,32,CHI,82,82,1,20.4,124,100,14.2,6.2,.317,8.3,2.2,10.5,9.8,29.4,5.6,14.9,10.2,21.2,3.1,1.0,8.4,33.3,G-F,jordami01
3,Michael Jordan,20.3,37.0,1990-91,27,CHI,82,82,1,20.3,125,102,14.9,5.4,.321,8.9,3.2,12.0,10.8,31.6,4.6,14.3,9.5,25.2,3.7,1.7,8.7,32.9,G-F,jordami01
4,LeBron James,20.3,37.7,2008-09,24,CLE,81,81,1,20.3,122,99,13.7,6.5,.318,9.5,3.7,13.2,11.8,31.7,4.3,19.0,11.9,38.0,2.4,2.4,11.0,33.8,F-G,jamesle01
5,David Robinson,20.0,40.5,1993-94,28,SAS,80,80,1,20.0,119,98,13.3,6.7,.296,8.1,3.8,11.9,11.4,30.7,8.8,20.3,14.8,21.6,2.3,5.4,10.9,32.0,C,robinda01
6,Michael Jordan,19.8,40.2,1988-89,25,CHI,81,81,1,19.8,123,103,14.6,5.2,.292,8.4,3.4,11.9,11.4,31.1,5.5,17.3,11.6,34.7,3.6,1.2,11.9,32.1,G-F,jordami01
7,LeBron James,19.3,37.9,2012-13,28,MIA,76,76,1,19.3,125,101,14.6,4.7,.322,9.3,2.4,11.7,9.9,31.6,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,F-G,jamesle01
8,Kevin Durant,19.2,38.5,2013-14,25,OKC,81,81,1,19.2,123,104,14.8,4.4,.295,8.8,1.4,10.2,9.6,29.8,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33.0,F-G,duranke01
9,Michael Jordan,19.0,39.0,1989-90,26,CHI,82,82,1,19.0,123,106,14.7,4.3,.285,9.1,2.1,11.2,10.6,31.2,5.3,15.6,10.4,28.6,3.5,1.1,9.8,33.7,G-F,jordami01
10,Kevin Durant,18.9,38.5,2012-13,24,OKC,81,81,1,18.9,122,100,13.6,5.3,.291,7.6,1.7,9.3,8.9,28.3,1.8,20.3,11.8,21.7,1.9,2.6,13.7,29.8,F-G,duranke01
11,Shaquille O'Neal,18.6,40.0,1999-00,27,LAL,79,79,1,18.6,115,95,11.7,7.0,.283,7.3,2.0,9.3,9.0,30.6,11.5,24.8,18.3,19.3,0.6,5.3,9.9,31.2,C,onealsh01
