Rk,Player,PTS/G,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
1,Jimmer Fredette,28.9,MIL,1,10,2011,Brigham Young,2010-11,Brigham Young,37,37,35.8,9.4,20.7,6.0,12.2,3.4,8.5,6.8,7.6,0.6,2.8,3.4,4.3,1.3,0.0,3.5,1.3,28.9,.452,.491,.396,.894,.594,.533,G,SR,jimmer-fredette-1
2,Adam Morrison,28.1,CHA,1,3,2006,Gonzaga,2005-06,Gonzaga,33,32,36.5,9.3,18.7,7.0,13.5,2.2,5.2,7.3,9.4,1.4,4.1,5.5,1.7,1.1,0.3,2.3,2.0,28.1,.496,.523,.428,.772,.605,.556,F,JR,adam-morrison-1
3,Trae Young,27.4,DAL,1,5,2018,Oklahoma,2017-18,Oklahoma,32,32,35.4,8.2,19.3,4.5,9.1,3.7,10.3,7.4,8.6,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4,.422,.493,.360,.861,.585,.518,G,FR,trae-young-1
4,J.J. Redick,26.8,ORL,1,11,2006,Duke,2005-06,Duke,36,36,37.1,8.4,17.9,4.5,8.7,3.9,9.2,6.1,7.1,0.2,1.8,2.0,2.6,1.4,0.1,2.5,1.5,26.8,.470,.521,.421,.863,.630,.578,G,SR,jj-redick-1
5,Doug McDermott,26.7,DEN,1,11,2014,Creighton,2013-14,Creighton,35,35,33.7,9.4,17.9,6.7,11.8,2.7,6.1,5.1,5.9,1.6,5.3,7.0,1.6,0.2,0.1,1.8,1.9,26.7,.526,.567,.449,.864,.644,.603,F,SR,doug-mcdermott-1
6,Michael Beasley,26.2,MIA,1,2,2008,Kansas State,2007-08,Kansas State,33,33,31.5,9.3,17.5,8.2,14.6,1.1,2.9,6.5,8.5,4.0,8.4,12.4,1.2,1.3,1.6,2.9,2.6,26.2,.532,.562,.379,.774,.610,.563,F,FR,michael-beasley-1
7,Stephen Curry,25.9,GSW,1,7,2009,Davidson,2007-08,Davidson,36,36,33.1,8.8,18.2,4.3,8.0,4.5,10.3,3.8,4.2,0.8,3.8,4.6,2.9,2.0,0.4,2.6,2.4,25.9,.483,.540,.439,.894,.640,.607,G,SO,stephen-curry-1
8,Kevin Durant,25.8,OKC,1,2,2007,Texas,2006-07,Texas,35,35,35.9,8.7,18.5,6.4,12.7,2.3,5.8,6.0,7.3,3.0,8.1,11.1,1.3,1.9,1.9,2.8,2.0,25.8,.473,.505,.404,.816,.587,.536,F,FR,kevin-durant-1
9,Buddy Hield,25.0,NOH,1,6,2016,Oklahoma,2015-16,Oklahoma,37,37,35.4,8.1,16.2,4.2,7.5,4.0,8.7,4.8,5.4,1.2,4.5,5.7,2.0,1.1,0.5,3.1,2.1,25.0,.501,.552,.457,.880,.665,.623,G,SR,buddy-hield-1
10,T.J. Warren,24.9,PHO,1,14,2014,NC State,2013-14,NC State,35,35,35.4,9.8,18.6,8.9,15.3,0.9,3.3,4.5,6.5,3.2,3.9,7.1,1.1,1.8,0.6,2.4,2.8,24.9,.525,.580,.267,.690,.574,.548,F,SO,tj-warren-1
11,Luis Flores,24.6,HOU,2,55,2004,Manhattan,2002-03,Manhattan,30,30,38.9,7.7,16.9,5.8,12.1,1.9,4.8,7.4,8.2,1.6,4.0,5.6,2.9,1.9,0.4,3.3,2.3,24.6,.455,.482,.386,.902,.592,.510,G,JR,luis-flores-1
12,Ja Morant,24.5,MEM,1,2,2019,Murray State,2018-19,Murray State,33,33,36.6,8.0,16.1,6.3,11.3,1.7,4.8,6.7,8.2,1.2,4.5,5.7,10.0,1.8,0.8,5.2,1.5,24.5,.499,.556,.363,.813,.612,.553,G,SO,temetrius-morant-1
13,Carsen Edwards,24.3,PHI,2,33,2019,Purdue,2018-19,Purdue,36,36,35.4,7.7,19.5,3.9,9.0,3.8,10.6,5.1,6.1,0.4,3.2,3.6,2.9,1.3,0.3,3.1,2.0,24.3,.394,.440,.355,.837,.541,.490,G,JR,carsen-edwards-1
14,Luka Garza,24.1,DET,2,52,2021,Iowa,2020-21,Iowa,31,31,31.5,9.1,16.4,7.6,13.2,1.4,3.2,4.5,6.4,3.0,5.7,8.7,1.7,0.7,1.6,1.5,2.3,24.1,.553,.581,.440,.709,.620,.596,F,SR,luka-garza-1
15,Luis Flores,24.0,HOU,2,55,2004,Manhattan,2003-04,Manhattan,31,31,36.2,7.5,17.1,5.4,11.2,2.2,5.9,6.7,7.8,1.2,2.8,3.9,1.6,1.9,0.1,2.4,2.5,24.0,.442,.478,.374,.863,.578,.507,G,SR,luis-flores-1
16,Kyle Hill,23.8,DAL,2,44,2001,Eastern Illinois,2000-01,Eastern Illinois,31,31,33.6,8.1,17.1,5.3,10.6,2.8,6.4,4.9,5.8,1.5,3.3,4.9,4.0,1.5,0.7,2.9,1.8,23.8,.473,.497,.432,.839,.600,.554,G,SR,kyle-hill-1
17,Kemba Walker,23.5,CHA,1,9,2011,Connecticut,2010-11,Connecticut,41,41,37.6,7.7,18.0,5.9,12.5,1.8,5.5,6.3,7.7,1.3,4.1,5.4,4.5,1.9,0.2,2.3,1.4,23.5,.428,.471,.330,.819,.543,.478,G,JR,kemba-walker-1
18,Keegan Murray,23.5,SAC,1,4,2022,Iowa,2021-22,Iowa,35,35,31.9,8.8,15.8,6.9,11.1,1.9,4.7,4.1,5.4,2.9,5.8,8.7,1.5,1.3,1.9,1.1,1.9,23.5,.554,.621,.398,.747,.638,.614,F,SO,keegan-murray-1
19,Doug McDermott,23.2,DEN,1,11,2014,Creighton,2012-13,Creighton,36,36,31.6,7.9,14.4,5.8,10.0,2.1,4.4,5.3,6.0,1.6,6.1,7.7,1.6,0.2,0.1,2.6,1.6,23.2,.548,.573,.490,.875,.672,.623,F,JR,doug-mcdermott-1
20,Tyler Harvey,23.1,ORL,2,51,2015,Eastern Washington,2014-15,Eastern Washington,32,32,36.9,7.2,15.3,3.2,6.0,4.0,9.3,4.7,5.5,0.6,3.0,3.6,2.6,1.1,0.1,2.0,1.9,23.1,.469,.528,.431,.852,.643,.600,G,JR,tyler-harvey-1
21,Cameron Thomas,23.0,NJN,1,27,2021,Louisiana State,2020-21,Louisiana State,29,29,34.0,7.0,17.2,4.7,10.0,2.3,7.2,6.7,7.6,0.6,2.8,3.4,1.4,0.9,0.2,1.7,1.4,23.0,.406,.464,.325,.882,.553,.474,G,FR,cameron-thomas-1
22,Doug McDermott,22.9,DEN,1,11,2014,Creighton,2011-12,Creighton,35,35,31.9,8.8,14.6,7.2,11.4,1.5,3.2,3.8,4.8,2.4,5.8,8.2,1.1,0.2,0.1,2.3,1.7,22.9,.601,.633,.486,.796,.678,.654,F,SO,doug-mcdermott-1
23,Blake Griffin,22.7,LAC,1,1,2009,Oklahoma,2008-09,Oklahoma,35,35,33.3,8.6,13.1,8.5,12.9,0.1,0.2,5.5,9.3,3.9,10.5,14.4,2.3,1.1,1.2,3.3,2.5,22.7,.654,.659,.375,.590,.648,.657,F,SO,blake-griffin-1
24,R.J. Barrett,22.6,NYK,1,3,2019,Duke,2018-19,Duke,38,38,35.3,8.4,18.5,6.5,12.2,1.9,6.2,3.9,5.9,1.6,6.0,7.6,4.3,0.9,0.4,3.2,1.8,22.6,.454,.529,.308,.665,.532,.506,F,FR,rj-barrett-1
25,Tyler Hansbrough,22.6,IND,1,13,2009,North Carolina,2007-08,North Carolina,39,39,33.0,7.4,13.7,7.4,13.5,0.0,0.2,7.8,9.7,3.9,6.4,10.2,0.9,1.5,0.4,2.1,2.4,22.6,.540,.547,.000,.806,.618,.540,F,JR,tyler-hansbrough-1
26,Zion Williamson,22.6,NOH,1,1,2019,Duke,2018-19,Duke,33,33,30.0,9.0,13.2,8.2,11.0,0.7,2.2,3.9,6.2,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,.680,.747,.338,.640,.702,.708,F,FR,zion-williamson-1
27,Chris Kaman,22.4,LAC,1,6,2003,Central Michigan,2002-03,Central Michigan,31,31,34.0,7.9,12.6,7.9,12.6,0.0,0.0,6.6,8.9,3.6,8.4,12.0,1.2,0.6,3.2,4.4,3.2,22.4,.622,.622,,.749,.664,.622,C,JR,chris-kaman-1
28,Eric Maynor,22.4,UTA,1,20,2009,VCU,2008-09,VCU,34,34,35.5,7.3,15.8,5.4,10.4,1.9,5.4,5.8,7.1,0.5,3.1,3.6,6.2,1.7,0.2,3.0,2.4,22.4,.463,.516,.361,.815,.583,.524,G,SR,eric-maynor-1
29,James Anderson,22.3,SAS,1,20,2010,Oklahoma State,2009-10,Oklahoma State,33,33,34.1,6.8,15.0,4.6,8.4,2.2,6.6,6.3,7.8,1.9,3.9,5.8,2.4,1.4,0.6,2.4,2.7,22.3,.457,.549,.341,.810,.596,.532,G,JR,james-anderson-3
30,Nate Wolters,22.3,WAS,2,38,2013,South Dakota State,2012-13,South Dakota State,33,33,38.1,7.3,15.1,5.4,10.0,1.9,5.1,5.7,7.0,1.1,4.5,5.6,5.8,1.7,0.1,2.3,1.5,22.3,.485,.539,.379,.813,.604,.549,G,SR,nate-wolters-1
31,Carmelo Anthony,22.2,DEN,1,3,2003,Syracuse,2002-03,Syracuse,35,35,36.4,7.9,17.5,6.3,12.7,1.6,4.7,4.8,6.8,2.9,7.1,10.0,2.2,1.6,0.9,2.2,2.2,22.2,.453,.496,.337,.706,.537,.498,F,FR,carmelo-anthony-1
32,Jimmer Fredette,22.1,MIL,1,10,2011,Brigham Young,2009-10,Brigham Young,34,33,31.1,6.6,14.4,4.4,9.3,2.3,5.1,6.6,7.4,0.7,2.4,3.1,4.7,1.2,0.1,2.7,1.1,22.1,.458,.468,.440,.892,.615,.537,G,JR,jimmer-fredette-1
33,Steve Logan,22.0,GSW,2,30,2002,Cincinnati,2001-02,Cincinnati,35,35,34.1,7.0,15.4,4.6,8.8,2.5,6.6,5.5,6.3,0.3,2.8,3.1,5.3,0.9,0.0,2.5,1.8,22.0,.457,.519,.374,.873,.599,.537,G,SR,steve-logan-1
34,Casey Jacobsen,21.9,PHO,1,22,2002,Stanford,2001-02,Stanford,30,30,35.3,6.8,15.5,4.7,9.8,2.1,5.7,6.1,7.9,1.5,3.0,4.5,3.5,0.6,0.1,2.4,1.8,21.9,.441,.481,.372,.776,.570,.510,G,JR,casey-jacobsen-1
35,C.J. McCollum,21.9,POR,1,10,2013,Lehigh,2011-12,Lehigh,35,35,33.1,7.3,16.4,5.5,11.3,1.7,5.0,5.7,7.0,1.4,5.1,6.5,3.5,2.6,0.5,2.3,2.1,21.9,.443,.489,.341,.811,.556,.496,G,JR,cj-mccollum-1
