,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Shooting,Team Shooting,Team Shooting,Team Shooting,Team Shooting,Team Shooting
Rk,Season,Team,W,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
1,2015-16,GSW,73,82,73,9,.890,19880,3489,7159,2412,4567,1077,2592,1366,1790,816,2972,3788,2373,689,498,1245,1701,9421,.487,.528,.416,.763,.593,56.258
2,1995-96,CHI,72,82,72,10,.878,19730,3293,6892,2749,5543,544,1349,1495,2004,1247,2411,3658,2033,745,345,1175,1807,8625,.478,.496,.403,.746,.555,51.727
3,1996-97,CHI,69,82,69,13,.841,19730,3277,6923,2754,5520,523,1403,1381,1848,1235,2461,3696,2142,716,332,1109,1617,8458,.473,.499,.373,.747,.547,51.112
4,2016-17,GSW,67,82,67,15,.817,19780,3532,7140,2550,4578,982,2562,1457,1850,770,2873,3643,2491,785,555,1211,1585,9503,.495,.557,.383,.788,.597,56.345
5,2015-16,SAS,67,82,67,15,.817,19705,3289,6797,2719,5279,570,1518,1342,1672,770,2831,3601,2010,677,485,1071,1433,8490,.484,.515,.375,.803,.564,52.582
6,2014-15,GSW,67,82,67,15,.817,19730,3410,7137,2527,4920,883,2217,1313,1709,853,2814,3667,2248,762,496,1185,1628,9016,.478,.514,.398,.768,.571,53.965
7,2006-07,DAL,67,82,67,15,.817,19755,3010,6442,2475,5038,535,1404,1646,2045,920,2515,3435,1632,560,408,1140,1837,8201,.467,.491,.381,.805,.559,50.877
8,1999-00,LAL,67,82,67,15,.817,19805,3137,6836,2793,5789,344,1047,1649,2368,1117,2738,3855,1921,613,534,1143,1841,8267,.459,.482,.329,.696,.525,48.406
9,1991-92,CHI,67,82,67,15,.817,19830,3643,7168,3505,6714,138,454,1587,2132,1173,2439,3612,2279,672,480,1088,1693,9011,.508,.522,.304,.744,.556,51.786
10,1985-86,BOS,67,82,67,15,.817,19855,3718,7312,3580,6919,138,393,1785,2248,1054,2753,3807,2387,641,511,1360,1756,9359,.508,.517,.351,.794,.564,51.792
11,2012-13,MIA,66,82,66,16,.805,19880,3148,6348,2431,4539,717,1809,1423,1887,676,2490,3166,1890,710,441,1143,1533,8436,.496,.536,.396,.754,.588,55.238
12,2008-09,CLE,66,82,66,16,.805,19780,3022,6454,2366,4784,656,1670,1523,2012,886,2574,3460,1663,593,435,1045,1663,8223,.468,.495,.393,.757,.560,51.906
13,2007-08,BOS,66,82,66,16,.805,19755,2986,6286,2390,4722,596,1564,1677,2176,830,2615,3445,1833,696,379,1246,1864,8245,.475,.506,.381,.771,.569,52.243
14,2017-18,HOU,65,82,65,17,.793,19755,3174,6906,1918,3436,1256,3470,1609,2061,739,2825,3564,1767,699,392,1135,1597,9213,.460,.558,.362,.781,.590,55.054
15,2008-09,LAL,65,82,65,17,.793,19780,3307,6981,2760,5465,547,1516,1607,2087,1015,2587,3602,1908,718,420,1103,1698,8768,.474,.505,.361,.770,.555,51.289
16,1986-87,LAL,65,82,65,17,.793,19730,3740,7245,3576,6798,164,447,2012,2550,1127,2515,3642,2428,728,482,1358,1853,9656,.516,.526,.367,.789,.577,52.754
17,1982-83,PHI,65,82,65,17,.793,19830,3600,7212,3575,7103,25,109,1966,2650,1334,2596,3930,2016,812,577,1627,2041,9191,.499,.503,.229,.742,.549,50.090
18,2023-24,BOS,64,82,64,18,.780,19830,3601,7396,2250,3914,1351,3482,1334,1654,876,2923,3799,2207,557,538,979,1326,9887,.487,.575,.388,.807,.609,57.822
19,2021-22,PHO,64,82,64,18,.780,19730,3581,7389,2630,4773,951,2616,1303,1635,801,2913,3714,2244,702,359,1060,1633,9416,.485,.551,.364,.797,.581,54.899
20,2005-06,DET,64,82,64,18,.780,19830,2983,6558,2426,5107,557,1451,1418,1950,975,2347,3322,1971,580,490,931,1513,7941,.455,.475,.384,.727,.535,49.733
21,1996-97,UTA,64,82,64,18,.780,19830,3131,6217,2797,5315,334,902,1858,2416,889,2410,3299,2199,748,418,1259,1981,8454,.504,.526,.370,.769,.581,53.048
22,1995-96,SEA,64,82,64,18,.780,19880,3074,6401,2493,4805,581,1596,1843,2424,954,2449,3403,1999,882,393,1441,1967,8572,.480,.519,.364,.760,.574,52.562
23,2005-06,SAS,63,82,63,19,.768,19805,2993,6342,2469,4980,524,1362,1327,1891,851,2548,3399,1717,543,467,1126,1714,7837,.472,.496,.385,.702,.546,51.325
24,1993-94,SEA,63,82,63,19,.768,19730,3338,6901,3096,6179,242,722,1769,2374,1148,2233,3381,2112,1053,365,1262,1914,8687,.484,.501,.335,.745,.547,50.123
25,1990-91,POR,63,82,63,19,.768,19905,3577,7369,3236,6465,341,904,1912,2538,1202,2561,3763,2254,724,410,1309,1975,9407,.485,.501,.377,.753,.554,50.855
26,1989-90,LAL,63,82,63,19,.768,19855,3434,7010,3125,6169,309,841,1902,2417,1097,2460,3557,2232,655,445,1226,1737,9079,.490,.507,.367,.787,.562,51.191
27,1988-89,DET,63,82,63,19,.768,19830,3395,6879,3275,6479,120,400,1830,2379,1154,2546,3700,2027,522,406,1336,1939,8740,.494,.505,.300,.769,.551,50.225
28,1984-85,BOS,63,82,63,19,.768,19705,3721,7325,3611,7016,110,309,1860,2307,1116,2630,3746,2287,645,414,1332,1781,9412,.508,.515,.356,.806,.564,51.549
29,1981-82,BOS,63,82,63,19,.768,19780,3657,7334,3608,7150,49,184,1817,2457,1253,2489,3742,2126,652,568,1452,2014,9180,.499,.505,.266,.740,.545,50.198
30,2013-14,SAS,62,82,62,20,.756,19755,3326,6844,2628,5087,698,1757,1289,1642,762,2786,3548,2064,604,420,1180,1495,8639,.486,.517,.397,.785,.571,53.697
31,2010-11,CHI,62,82,62,20,.756,19830,3042,6587,2531,5172,511,1415,1492,2008,967,2654,3621,1827,592,468,1161,1639,8087,.462,.489,.361,.743,.541,50.061
32,2008-09,BOS,62,82,62,20,.756,19880,3075,6333,2537,4978,538,1355,1587,2075,869,2586,3455,1862,621,387,1280,1897,8275,.486,.510,.397,.765,.571,52.803
33,2004-05,PHO,62,82,62,20,.756,19780,3351,7018,2555,4992,796,2026,1556,2080,967,2652,3619,1927,572,453,1125,1563,9054,.477,.512,.393,.748,.571,53.420
34,1997-98,CHI,62,82,62,20,.756,19855,3064,6801,2753,5839,311,962,1492,2009,1243,2438,3681,1952,696,353,1178,1691,7931,.451,.471,.323,.743,.516,47.339
35,1997-98,UTA,62,82,62,20,.756,19780,2993,6113,2744,5443,249,670,2044,2644,962,2405,3367,2070,648,412,1260,1961,8279,.490,.504,.372,.773,.569,50.998
36,1994-95,SAS,62,82,62,20,.756,19855,3236,6687,2802,5529,434,1158,1836,2487,1029,2661,3690,1919,656,456,1246,1871,8742,.484,.507,.375,.738,.562,51.638
37,1992-93,PHO,62,82,62,20,.756,19730,3494,7093,3096,5998,398,1095,1912,2539,1141,2510,3651,2087,752,455,1359,1739,9298,.493,.516,.363,.753,.566,52.065
