,Season,Team,W,G,L,W%,FG%,2P%,3P%,FT%,TS%,eFG%,MP/G,FG/G,FGA/G,2P/G,2PA/G,3P/G,3PA/G,FT/G,FTA/G,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G
0,2015,GSW,73,82,9,0.89,0.487,0.528,0.416,0.763,0.593,56.258,242.4390243902439,42.548780487804876,87.3048780487805,29.414634146341463,55.69512195121951,13.134146341463415,31.609756097560975,16.658536585365855,21.829268292682926,9.951219512195122,36.24390243902439,46.19512195121951,28.9390243902439,8.402439024390244,6.073170731707317,15.182926829268293,20.74390243902439,114.89024390243902
1,1995,CHI,72,82,10,0.878,0.478,0.496,0.403,0.746,0.555,51.727,240.609756097561,40.15853658536585,84.04878048780488,33.52439024390244,67.59756097560975,6.634146341463414,16.451219512195124,18.23170731707317,24.4390243902439,15.207317073170731,29.402439024390244,44.609756097560975,24.79268292682927,9.085365853658537,4.2073170731707314,14.329268292682928,22.036585365853657,105.1829268292683
2,1996,CHI,69,82,13,0.841,0.473,0.499,0.373,0.747,0.547,51.112,240.609756097561,39.96341463414634,84.42682926829268,33.58536585365854,67.3170731707317,6.378048780487805,17.109756097560975,16.841463414634145,22.536585365853657,15.060975609756097,30.01219512195122,45.073170731707314,26.121951219512194,8.731707317073171,4.048780487804878,13.524390243902438,19.71951219512195,103.14634146341463
3,2016,GSW,67,82,15,0.817,0.495,0.557,0.383,0.788,0.597,56.345,241.21951219512195,43.073170731707314,87.07317073170732,31.097560975609756,55.829268292682926,11.975609756097562,31.24390243902439,17.76829268292683,22.5609756097561,9.390243902439025,35.03658536585366,44.426829268292686,30.378048780487806,9.573170731707316,6.7682926829268295,14.768292682926829,19.329268292682926,115.89024390243902
4,2015,SAS,67,82,15,0.817,0.484,0.515,0.375,0.803,0.564,52.582,240.3048780487805,40.109756097560975,82.89024390243902,33.15853658536585,64.3780487804878,6.951219512195122,18.51219512195122,16.365853658536587,20.390243902439025,9.390243902439025,34.52439024390244,43.91463414634146,24.51219512195122,8.25609756097561,5.914634146341464,13.060975609756097,17.475609756097562,103.53658536585365
5,2014,GSW,67,82,15,0.817,0.478,0.514,0.398,0.768,0.571,53.965,240.609756097561,41.58536585365854,87.03658536585365,30.817073170731707,60.0,10.768292682926829,27.036585365853657,16.01219512195122,20.841463414634145,10.402439024390244,34.31707317073171,44.71951219512195,27.414634146341463,9.292682926829269,6.048780487804878,14.451219512195122,19.853658536585368,109.95121951219512
6,2006,DAL,67,82,15,0.817,0.467,0.491,0.381,0.805,0.559,50.877,240.91463414634146,36.707317073170735,78.5609756097561,30.182926829268293,61.4390243902439,6.524390243902439,17.121951219512194,20.073170731707318,24.9390243902439,11.21951219512195,30.670731707317074,41.890243902439025,19.902439024390244,6.829268292682927,4.975609756097561,13.902439024390244,22.402439024390244,100.01219512195122
7,1999,LAL,67,82,15,0.817,0.459,0.482,0.329,0.696,0.525,48.406,241.52439024390245,38.25609756097561,83.36585365853658,34.0609756097561,70.59756097560975,4.195121951219512,12.768292682926829,20.109756097560975,28.878048780487806,13.621951219512194,33.390243902439025,47.01219512195122,23.426829268292682,7.475609756097561,6.512195121951219,13.939024390243903,22.451219512195124,100.8170731707317
8,1991,CHI,67,82,15,0.817,0.508,0.522,0.304,0.744,0.556,51.786,241.82926829268294,44.426829268292686,87.41463414634147,42.74390243902439,81.8780487804878,1.6829268292682926,5.536585365853658,19.353658536585368,26.0,14.304878048780488,29.74390243902439,44.048780487804876,27.79268292682927,8.195121951219512,5.853658536585366,13.268292682926829,20.646341463414632,109.89024390243902
9,1985,BOS,67,82,15,0.817,0.508,0.517,0.351,0.794,0.564,51.792,242.1341463414634,45.34146341463415,89.17073170731707,43.65853658536585,84.3780487804878,1.6829268292682926,4.7926829268292686,21.76829268292683,27.414634146341463,12.853658536585366,33.573170731707314,46.426829268292686,29.109756097560975,7.817073170731708,6.2317073170731705,16.585365853658537,21.414634146341463,114.13414634146342
10,2012,MIA,66,82,16,0.805,0.496,0.536,0.396,0.754,0.588,55.238,242.4390243902439,38.390243902439025,77.41463414634147,29.646341463414632,55.353658536585364,8.74390243902439,22.0609756097561,17.353658536585368,23.01219512195122,8.24390243902439,30.365853658536587,38.609756097560975,23.048780487804876,8.658536585365853,5.378048780487805,13.939024390243903,18.695121951219512,102.8780487804878
11,2008,CLE,66,82,16,0.805,0.468,0.495,0.393,0.757,0.56,51.906,241.21951219512195,36.853658536585364,78.70731707317073,28.853658536585368,58.34146341463415,8.0,20.365853658536587,18.573170731707318,24.536585365853657,10.804878048780488,31.390243902439025,42.19512195121951,20.28048780487805,7.2317073170731705,5.304878048780488,12.74390243902439,20.28048780487805,100.28048780487805
12,2007,BOS,66,82,16,0.805,0.475,0.506,0.381,0.771,0.569,52.243,240.91463414634146,36.41463414634146,76.65853658536585,29.146341463414632,57.58536585365854,7.2682926829268295,19.073170731707318,20.451219512195124,26.536585365853657,10.121951219512194,31.890243902439025,42.01219512195122,22.353658536585368,8.487804878048781,4.621951219512195,15.195121951219512,22.73170731707317,100.54878048780488
13,2017,HOU,65,82,17,0.793,0.46,0.558,0.362,0.781,0.59,55.054,240.91463414634146,38.707317073170735,84.21951219512195,23.390243902439025,41.90243902439025,15.317073170731707,42.31707317073171,19.621951219512194,25.134146341463413,9.012195121951219,34.451219512195124,43.46341463414634,21.548780487804876,8.524390243902438,4.780487804878049,13.841463414634147,19.475609756097562,112.35365853658537
14,2008,LAL,65,82,17,0.793,0.474,0.505,0.361,0.77,0.555,51.289,241.21951219512195,40.329268292682926,85.13414634146342,33.65853658536585,66.64634146341463,6.670731707317073,18.48780487804878,19.597560975609756,25.451219512195124,12.378048780487806,31.548780487804876,43.926829268292686,23.26829268292683,8.75609756097561,5.121951219512195,13.451219512195122,20.70731707317073,106.92682926829268
15,1986,LAL,65,82,17,0.793,0.516,0.526,0.367,0.789,0.577,52.754,240.609756097561,45.609756097560975,88.35365853658537,43.609756097560975,82.90243902439025,2.0,5.451219512195122,24.536585365853657,31.097560975609756,13.74390243902439,30.670731707317074,44.41463414634146,29.609756097560975,8.878048780487806,5.878048780487805,16.5609756097561,22.597560975609756,117.7560975609756
16,1982,PHI,65,82,17,0.793,0.499,0.503,0.229,0.742,0.549,50.09,241.82926829268294,43.90243902439025,87.95121951219512,43.59756097560975,86.6219512195122,0.3048780487804878,1.329268292682927,23.975609756097562,32.31707317073171,16.26829268292683,31.658536585365855,47.926829268292686,24.585365853658537,9.902439024390244,7.036585365853658,19.841463414634145,24.890243902439025,112.08536585365853
17,2023,BOS,64,82,18,0.78,0.487,0.575,0.388,0.807,0.609,57.822,241.82926829268294,43.91463414634146,90.1951219512195,27.4390243902439,47.73170731707317,16.475609756097562,42.46341463414634,16.26829268292683,20.170731707317074,10.682926829268293,35.646341463414636,46.329268292682926,26.914634146341463,6.7926829268292686,6.560975609756097,11.939024390243903,16.170731707317074,120.57317073170732
18,2021,PHO,64,82,18,0.78,0.485,0.551,0.364,0.797,0.581,54.899,240.609756097561,43.670731707317074,90.10975609756098,32.073170731707314,58.207317073170735,11.597560975609756,31.902439024390244,15.890243902439025,19.9390243902439,9.768292682926829,35.52439024390244,45.292682926829265,27.365853658536587,8.560975609756097,4.378048780487805,12.926829268292684,19.914634146341463,114.82926829268293
19,2005,DET,64,82,18,0.78,0.455,0.475,0.384,0.727,0.535,49.733,241.82926829268294,36.3780487804878,79.97560975609755,29.585365853658537,62.28048780487805,6.7926829268292686,17.695121951219512,17.29268292682927,23.78048780487805,11.890243902439025,28.621951219512194,40.51219512195122,24.036585365853657,7.073170731707317,5.975609756097561,11.353658536585366,18.451219512195124,96.84146341463415
20,1996,UTA,64,82,18,0.78,0.504,0.526,0.37,0.769,0.581,53.048,241.82926829268294,38.18292682926829,75.8170731707317,34.109756097560975,64.8170731707317,4.073170731707317,11.0,22.658536585365855,29.463414634146343,10.841463414634147,29.390243902439025,40.23170731707317,26.817073170731707,9.121951219512194,5.097560975609756,15.353658536585366,24.158536585365855,103.09756097560975
21,1995,SEA,64,82,18,0.78,0.48,0.519,0.364,0.76,0.574,52.562,242.4390243902439,37.48780487804878,78.0609756097561,30.402439024390244,58.59756097560975,7.085365853658536,19.463414634146343,22.475609756097562,29.5609756097561,11.634146341463415,29.865853658536587,41.5,24.378048780487806,10.75609756097561,4.7926829268292686,17.573170731707318,23.98780487804878,104.53658536585365
22,2005,SAS,63,82,19,0.768,0.472,0.496,0.385,0.702,0.546,51.325,241.52439024390245,36.5,77.34146341463415,30.109756097560975,60.73170731707317,6.390243902439025,16.609756097560975,16.182926829268293,23.0609756097561,10.378048780487806,31.073170731707318,41.451219512195124,20.9390243902439,6.621951219512195,5.695121951219512,13.731707317073171,20.902439024390244,95.57317073170732
23,1993,SEA,63,82,19,0.768,0.484,0.501,0.335,0.745,0.547,50.123,240.609756097561,40.707317073170735,84.15853658536585,37.75609756097561,75.35365853658537,2.951219512195122,8.804878048780488,21.573170731707318,28.951219512195124,14.0,27.23170731707317,41.23170731707317,25.75609756097561,12.841463414634147,4.451219512195122,15.390243902439025,23.341463414634145,105.9390243902439
24,1990,POR,63,82,19,0.768,0.485,0.501,0.377,0.753,0.554,50.855,242.7439024390244,43.6219512195122,89.86585365853658,39.46341463414634,78.84146341463415,4.158536585365853,11.024390243902438,23.317073170731707,30.951219512195124,14.658536585365853,31.23170731707317,45.890243902439025,27.48780487804878,8.829268292682928,5.0,15.963414634146341,24.085365853658537,114.71951219512195
25,1989,LAL,63,82,19,0.768,0.49,0.507,0.367,0.787,0.562,51.191,242.1341463414634,41.8780487804878,85.48780487804878,38.109756097560975,75.23170731707317,3.768292682926829,10.25609756097561,23.195121951219512,29.475609756097562,13.378048780487806,30.0,43.3780487804878,27.21951219512195,7.987804878048781,5.426829268292683,14.951219512195122,21.182926829268293,110.71951219512195
26,1988,DET,63,82,19,0.768,0.494,0.505,0.3,0.769,0.551,50.225,241.82926829268294,41.40243902439025,83.89024390243902,39.9390243902439,79.01219512195122,1.4634146341463414,4.878048780487805,22.317073170731707,29.01219512195122,14.073170731707316,31.048780487804876,45.1219512195122,24.71951219512195,6.365853658536586,4.951219512195122,16.29268292682927,23.646341463414632,106.58536585365853
