Player,2P,3P,FT,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FG%,Pos_G,Pos_F,Pos_C
Adem Bona,3.2,0,1.4,2.2,3,0.7,0.6,1.7,1.3,3.3,7.7,0.675,0,1,0
Ajay Mitchell,5.1,0.6,4.5,0.3,2.4,5.1,1.3,0.3,2.2,2,16.3,0.506,1,0,0
Anton Watson,3.625,0.325,1.775,1.725,3.6,2.025,1.45,0.575,1.15,2.35,9.95,0.58875,0,1,0
Antonio Reeves,3.6,2.45,2.75,0.55,2.55,1.35,0.55,0.2,1.35,1.95,17.3,0.464,1,0,0
Baylor Scheierman,2.766666667,2.633333333,2.433333333,0.7,7.633333333,3.9,1.066666667,0.133333333,2.1,1.933333333,15.83333333,0.46,1,0,0
Blake Hinson,1.8,2.05,1.9,1.05,3.4,1.15,0.55,0.4,1.3,2.85,11.8,0.417,1,0,0
Cam Spencer,2.4,2.5,2.1,1.1,3.8,3.6,1.5,0.3,1,2.2,14.3,0.484,1,0,0
Cody Williams,3.8,0.7,2.3,0.7,2.3,1.6,0.6,0.7,2,2,11.9,0.552,0,1,0
DaRon Holmes II,5.6,1,6.2,1.7,6.8,2.6,0.9,2.1,2.2,2,20.4,0.544,0,1,0
Dalton Knecht,4.8,2.6,4.4,0.8,4.1,1.8,0.7,0.6,1.7,1.8,21.7,0.458,1,0,0
Devin Carter,3.2,1.1,3.4,1.2,3.7,2.5,1.8,1.1,1.6,2.1,13,0.427,1,0,0
Donovan Clingan,4.1,0.05,1.75,2.35,4.15,1,0.45,2.15,0.9,1.95,9.95,0.647,0,0,1
Enrique Freeman,5.6,0.3,3.8,3.45,8.45,1.5,0.65,1.4,2.2,2.85,15.9,0.6245,0,1,0
Grant Nelson,3.1,0.8,3.3,1.6,4.3,1.5,0.6,1.6,1.4,3.1,11.9,0.488,0,1,0
Harrison Ingram,2.6,1.8,1.6,2.6,6.2,2.2,1.4,0.4,1.4,1.9,12.2,0.43,0,1,0
Isaac Jones,5.7,0,3.9,2.3,5.3,1.5,0.5,1.1,1.9,2,15.3,0.575,0,1,0
Jalen Bridges,1.9,1.4,1.5,2.033333333,2.966666667,0.9,0.833333333,0.666666667,0.866666667,1.8,9.466666667,0.489333333,0,1,0
Jamal Shead,3,1.1,1.766666667,0.666666667,2.566666667,5.833333333,1.833333333,0.3,2.033333333,2.2,11.13333333,0.409666667,1,0,0
Jared McCain,2.4,2.4,2.1,0.8,4.2,1.9,1.1,0.1,1.3,1.6,14.3,0.462,1,0,0
Jaylen Wells,2,2.1,2.3,1.2,3.4,1.2,0.5,0.2,0.7,1.9,12.6,0.436,0,1,0
Johnny Furphy,1.6,1.3,1.9,1.3,3.6,1,0.9,0.3,0.8,2.1,9,0.466,1,0,0
Justin Edwards,2.3,1,1.2,1.2,2.2,0.9,0.9,0.2,0.8,2.2,8.8,0.486,1,0,0
KJ Simpson,4.4,2.1,4.4,0.8,5.1,4.9,1.6,0.1,2.2,2.5,19.7,0.475,1,0,0
Keshad Johnson,2.4,0.45,1.5,1.45,3.275,1.05,0.625,0.575,1.025,1.45,7.6,0.51675,0,1,0
Kevin McCullar Jr.,3.225,1.025,3,1.1,4.875,2.925,1.65,0.525,2.025,2.65,12.375,0.429,1,0,0
Kyle Filipowski,4.65,1.05,3.35,2.35,6.3,2.2,1.2,1.1,2.3,2.8,15.75,0.473,0,0,1
N'Faly Dante,7,0,3.1,2.8,6.4,1.6,1.7,1.9,2.4,2.1,17,0.695,0,0,1
Oso Ighodaro,4.3,0,1.533333333,1.9,3.533333333,2.366666667,0.866666667,1.233333333,1.4,2.2,10.1,0.637333333,0,1,0
PJ Hall,5.2,1.4,3.5,1.6,4.8,1.4,0.8,1.4,1.9,3.1,18.3,0.488,0,1,0
Pelle Larsson,2.266666667,1.033333333,2.4,0.933333333,3,2.866666667,0.833333333,0.2,1.7,2.466666667,9.966666667,0.489666667,1,0,0
Reece Beekman,2.7,0.7,2,0.366666667,2.8,4.833333333,1.666666667,0.466666667,1.633333333,1.466666667,9.5,0.41,1,0,0
Reed Sheppard,2,2.3,1.6,0.4,3.8,4.5,2.5,0.7,2,1.9,12.5,0.536,1,0,0
Rob Dillingham,3.4,2,2.4,0.3,2.7,3.9,1,0.1,2,2.6,15.2,0.475,1,0,0
Ryan Dunn,3.1,0.2,1.2,2.2,4.7,0.8,1.3,2.3,0.8,2.1,8.1,0.548,1,0,0
Stephon Castle,3.4,0.6,2.4,1.7,3,2.9,0.8,0.5,1.5,2.4,11.1,0.472,1,0,0
Terrence Shannon Jr.,3.325,1.6,4.425,0.9,2.875,2.125,1.05,0.425,2,2,15.875,0.455,1,0,0
Trey Alexander,3.233333333,1.366666667,2.3,0.366666667,4.2,3.266666667,0.966666667,0.4,1.933333333,1.766666667,12.86666667,0.438333333,1,0,0
Tristen Newton,2.2,1.5,3.8,1.3,4.25,5.45,1,0.3,2.45,1.95,12.6,0.3945,1,0,0
Tyler Kolek,2.833333333,1.3,2.066666667,0.666666667,3.6,7.033333333,1.6,0.133333333,2.633333333,1.6,11.63333333,0.429,1,0,0
Tyler Smith,3.925,0.4,3.4,1.825,3.575,2.925,1.075,0.45,1.675,2.4,12.575,0.5155,0,1,0
Tyon Grant-Foster,4.8,1.5,6.2,1.3,4.8,1.6,1.7,1.5,2.5,2.3,20.1,0.446,1,0,0
Yves Missi,4.1,0,2.5,2.6,3,0.4,0.6,1.5,1.1,2.4,10.7,0.614,0,1,0
Zach Edey,6.5,0,4.625,3.75,5.525,1.275,0.2,1.65,1.925,1.95,17.65,0.61875,0,0,1
