player,g,gs,mp,fg_per_100_poss,fga_per_100_poss,x3p_per_100_poss,x3pa_per_100_poss,x2p_per_100_poss,x2pa_per_100_poss,ft_per_100_poss,fta_per_100_poss,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,o_rtg,d_rtg,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x0_3_range,fg_percent_from_x3_10_range,fg_percent_from_x10_16_range,fg_percent_from_x16_3p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,num_of_dunks,percent_corner_3s_of_3pa,corner_3_point_percent,num_heaves_attempted,num_heaves_made,per,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,height,weight,pos_PG,pos_SG,pos_PF,pos_SF,pos_C
AJ Johnson,48.94117647058823,18.294117647058822,1123.1176470588234,7.035294117647059,16.08823529411765,2.047058823529412,5.635294117647058,4.988235294117647,10.452941176470588,3.364705882352941,4.458823529411765,1.4588235294117649,6.811764705882352,8.28235294117647,4.341176470588236,1.5588235294117647,0.6764705882352942,2.2588235294117647,3.5529411764705885,19.523529411764702,107.82352941176472,111.58823529411764,11.941176470588236,0.6902941176470588,0.2821764705882352,0.265235294117647,0.0984117647058823,0.0445882352941176,0.3097058823529411,0.4791176470588235,0.6227647058823528,0.3828235294117647,0.368235294117647,0.2894705882352941,0.3314705882352941,0.5518235294117646,0.8131764705882353,0.0637647058823529,14.470588235294118,0.4235882352941176,0.3242941176470588,0.8235294117647058,0.0,12.529411764705884,0.3097058823529411,0.2711176470588235,3.2705882352941176,15.476470588235292,9.32941176470588,12.952941176470588,1.5588235294117647,1.2,11.594117647058823,17.85882352941176,1.1823529411764706,1.0588235294117647,2.2411764705882358,0.0793529411764705,-1.1058823529411763,0.0705882352941176,-1.0294117647058822,0.5235294117647059,77.0,203.23529411764707,1,1,0,0,0
Adem Bona,47.9,13.4,811.2666666666667,7.050000000000001,12.613333333333332,0.7833333333333333,2.35,6.260000000000001,10.25,3.2333333333333334,4.59,4.069999999999999,8.23,12.296666666666663,2.58,1.356666666666667,2.546666666666667,2.26,6.24,18.106666666666666,119.6,109.16666666666669,8.49,0.8130666666666666,0.4781666666666667,0.2010999999999999,0.0546999999999999,0.0788,0.1869666666666666,0.5936666666666668,0.7237333333333335,0.3998,0.3373333333333334,0.3006333333333333,0.1892,0.7219333333333331,0.5592666666666666,0.2325333333333333,42.333333333333336,0.2112,0.2117,0.2,0.0,15.816666666666665,0.1869666666666666,0.3743666666666668,9.096666666666666,18.51,13.773333333333335,7.72,1.3533333333333333,4.3133333333333335,13.26666666666667,14.939999999999998,1.2833333333333334,0.8733333333333334,2.1533333333333338,0.1329333333333333,-0.8366666666666667,0.7600000000000001,-0.0733333333333332,0.3633333333333333,81.1,232.2,0,0,1,1,0
Ajay Mitchell,58.63157894736842,46.526315789473685,1703.578947368421,9.726315789473682,21.200000000000003,1.7578947368421056,5.231578947368422,7.94736842105263,15.947368421052632,5.2105263157894735,6.6263157894736855,0.9789473684210528,4.826315789473685,5.805263157894736,7.657894736842105,1.7894736842105268,0.7631578947368421,3.389473684210526,3.5421052631578958,26.41578947368421,107.63157894736842,112.0,12.447368421052634,0.7528947368421053,0.2508947368421052,0.2082105263157894,0.1622105263157894,0.1317368421052631,0.2471052631578947,0.485578947368421,0.6569999999999999,0.3887894736842106,0.4177368421052632,0.3849473684210526,0.3334736842105263,0.2537894736842105,0.6397894736842107,0.0228947368421052,19.05263157894737,0.2077368421052632,0.3253684210526316,0.8947368421052632,0.0526315789473684,16.57894736842105,0.2471052631578947,0.2896315789473684,2.2315789473684213,10.905263157894735,6.552631578947368,24.96315789473684,1.7894736842105268,1.3526315789473686,12.63157894736842,24.41578947368421,2.4473684210526314,1.536842105263158,3.978947368421053,0.0918421052631579,0.7578947368421054,-0.1894736842105263,0.568421052631579,1.594736842105263,75.94736842105263,189.73684210526315,1,1,0,0,0
Alexandre Sarr,42.6,6.15,617.65,7.275,15.654999999999998,1.6649999999999998,5.11,5.609999999999999,10.54,2.1100000000000003,3.1299999999999994,2.7,8.45,11.15,2.26,1.19,1.06,2.04,5.015000000000001,18.325,107.35,109.45,13.654999999999998,0.67255,0.2662,0.1501,0.1081,0.14835,0.3274999999999999,0.5363,0.6677500000000001,0.4702499999999999,0.3775499999999999,0.38575,0.27885,0.7102999999999999,0.8520999999999999,0.08565,14.15,0.2446,0.297,0.3,0.0,12.260000000000002,0.3274999999999999,0.2042,5.9,18.865,12.355,6.815,1.19,1.86,10.785,16.830000000000002,0.47,0.615,1.08,0.0797,-1.83,-0.35,-2.18,0.055,80.7,226.4,0,0,1,1,0
Anton Watson,38.0,2.625,476.375,7.125,13.7375,0.1375,0.9625,6.9875,12.775,3.0375,5.3375,3.7375,6.049999999999999,9.775,2.3,1.45,0.875,2.725,5.8375,17.425,106.375,109.0,6.2375,0.930625,0.5825,0.1402499999999999,0.091125,0.1167499999999999,0.069375,0.55,0.65075,0.354,0.33725,0.198,0.171125,0.64975,0.479125,0.186875,23.25,0.4745,0.331125,0.0,0.0,11.875,0.069375,0.39425,8.425,13.2125,10.85,6.9875,1.45,1.3125,14.2375,16.45,0.5,0.375,0.8875000000000001,0.074875,-2.4000000000000004,-0.6125,-3.0125,0.0375,80.625,235.25,0,0,1,1,0
Antonio Reeves,57.61538461538461,29.94871794871795,1499.2051282051282,7.687179487179487,17.907692307692308,3.3410256410256407,8.743589743589743,4.3538461538461535,9.158974358974357,3.002564102564103,3.705128205128205,0.7589743589743587,4.912820512820512,5.666666666666668,3.5461538461538478,1.0128205128205128,0.2717948717948717,1.964102564102564,3.343589743589744,21.72820512820513,110.07692307692308,113.23076923076924,17.29230769230769,0.513051282051282,0.1599230769230769,0.0996666666666666,0.1045897435897435,0.1489230769230769,0.4869487179487179,0.4745128205128206,0.6233589743589745,0.3773333333333334,0.410025641025641,0.4095641025641026,0.3795128205128205,0.5641794871794871,0.8928717948717949,0.0113076923076923,6.82051282051282,0.2776666666666667,0.3803589743589743,1.205128205128205,0.0256410256410256,12.18974358974359,0.4869487179487179,0.2044871794871794,1.68974358974359,10.964102564102564,6.310256410256412,11.012820512820513,1.0128205128205128,0.4487179487179486,9.26923076923077,19.020512820512824,1.5307692307692309,0.8589743589743588,2.3846153846153846,0.0739230769230769,-0.4076923076923077,-1.064102564102564,-1.4717948717948717,0.2769230769230769,76.8974358974359,204.33333333333331,1,1,0,0,0
Ariel Hukporti,45.32142857142857,18.678571428571427,928.1071428571428,7.382142857142857,16.871428571428574,1.6535714285714285,4.735714285714286,5.721428571428572,12.132142857142856,2.7607142857142857,4.342857142857143,3.025,7.800000000000002,10.828571428571427,2.7464285714285714,1.3035714285714286,1.5178571428571428,2.682142857142857,5.832142857142856,19.178571428571427,101.10714285714286,108.21428571428572,12.30714285714286,0.7293928571428571,0.2948571428571429,0.1796785714285714,0.1478571428571428,0.1070357142857142,0.2706071428571429,0.465642857142857,0.6162857142857143,0.3567142857142856,0.3693928571428571,0.3346785714285714,0.2528214285714286,0.6210357142857142,0.7271428571428571,0.0981428571428571,21.678571428571427,0.1898214285714285,0.244,1.0714285714285714,0.0714285714285714,11.939285714285717,0.2706071428571429,0.2754642857142856,6.810714285714285,17.532142857142855,12.164285714285716,8.385714285714286,1.3035714285714286,2.392857142857143,12.725000000000003,18.942857142857143,0.3464285714285714,1.0071428571428571,1.35,0.0615714285714285,-2.2035714285714287,-0.2428571428571428,-2.45,0.0499999999999999,81.17857142857143,245.53571428571428,0,0,0,0,1
Baylor Scheierman,44.60869565217392,9.0,875.2608695652174,7.056521739130434,17.06521739130435,3.3739130434782605,9.095652173913043,3.665217391304348,7.97391304347826,1.643478260869565,2.073913043478261,1.3086956521739133,6.656521739130433,7.982608695652174,3.260869565217392,1.443478260869565,0.5304347826086956,2.356521739130435,3.921739130434783,19.1304347826087,103.3913043478261,112.7391304347826,17.56086956521739,0.4598695652173913,0.1599130434782608,0.1193043478260869,0.0863043478260869,0.0944347826086956,0.5401304347826087,0.4443913043478261,0.6345652173913043,0.3826521739130434,0.3633043478260869,0.3009565217391304,0.3729130434782609,0.5800434782608695,0.899,0.0188260869565217,4.130434782608695,0.2826521739130435,0.4078695652173913,0.9130434782608696,0.0,10.530434782608696,0.5401304347826087,0.119,2.965217391304348,14.947826086956525,8.952173913043477,9.656521739130437,1.443478260869565,0.9043478260869564,11.46086956521739,17.97826086956522,0.3478260869565218,0.6695652173913044,1.0217391304347827,0.0443478260869565,-1.9217391304347824,-0.6478260869565218,-2.5608695652173914,0.0043478260869565,78.21739130434783,217.8695652173913,1,1,0,0,0
Blake Hinson,51.66666666666666,19.791666666666668,1130.5,7.420833333333333,16.383333333333333,2.9125,7.695833333333333,4.520833333333333,8.679166666666667,2.3916666666666666,3.470833333333333,1.4458333333333335,5.270833333333333,6.704166666666666,2.8791666666666664,1.3583333333333334,0.4875,2.1541666666666663,4.604166666666667,20.129166666666663,109.0,114.20833333333331,15.0875,0.5099999999999999,0.258625,0.146375,0.0581666666666666,0.0467499999999999,0.49,0.5142916666666667,0.6353333333333333,0.3667499999999999,0.3231666666666666,0.377,0.3562916666666666,0.668,0.9627916666666666,0.0364583333333333,11.583333333333334,0.361875,0.3960833333333333,0.3333333333333333,0.0833333333333333,11.245833333333332,0.49,0.201125,3.1916666666666664,11.829166666666666,7.5,8.895833333333334,1.3583333333333334,0.8666666666666667,10.7,17.745833333333334,0.9208333333333334,0.8458333333333332,1.7666666666666666,0.063,-1.7416666666666665,-0.4708333333333332,-2.208333333333333,0.1458333333333333,77.04166666666667,210.58333333333331,1,1,0,0,0
Bobi Klintman,40.266666666666666,7.0,640.4,6.486666666666666,15.573333333333334,1.84,5.340000000000001,4.633333333333332,10.239999999999998,3.186666666666667,4.446666666666666,1.38,6.073333333333333,7.459999999999999,2.566666666666667,1.3133333333333332,0.9266666666666666,2.3800000000000003,4.920000000000001,17.973333333333333,99.53333333333332,110.53333333333332,13.693333333333332,0.6468666666666666,0.2628666666666667,0.1763333333333333,0.0733333333333333,0.1343333333333333,0.3531333333333333,0.4446,0.5945333333333332,0.3474,0.2789333333333333,0.3549999999999999,0.3368,0.6460000000000001,0.96,0.0502666666666666,11.266666666666667,0.3648,0.3992666666666666,0.5333333333333333,0.0,9.7,0.3531333333333333,0.2842666666666666,3.0533333333333337,13.546666666666663,8.28,7.760000000000002,1.3133333333333332,1.5799999999999998,12.04,17.63333333333333,0.2666666666666666,0.4466666666666666,0.7200000000000001,0.038,-2.966666666666667,-0.3599999999999998,-3.313333333333333,-0.1066666666666666,79.4,235.33333333333331,0,0,1,1,0
