Player,2P,3P,FT,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FG%,Pos_G,Pos_F,Pos_C
AJ Johnson,-2.1485547965943423,-0.9039851338359912,-2.133616691222636,-1.4618746458187193,-2.0730891193846563,-1.029754408554676,-1.7455461514201158,-0.9345499597857395,-1.9551236665190006,-3.059911974501291,-2.7092522928052984,-2.0360420545648226,1,0,0
Adem Bona,-0.3809230858308964,-1.277146537356939,-1.2200105821589353,0.6185913899168549,-0.6835778812576643,-1.029754408554676,-0.9594713242194327,1.0340955605840652,-0.9595068863112748,2.3511260152010203,-1.4542235066069173,2.7335679311412355,0,1,0
Ajay Mitchell,1.0184520185234978,-0.5308237303150435,1.3546975433842203,-1.4618746458187193,-1.1004312526957618,1.7532797912618445,0.4161596233817627,-0.688469269739514,0.3205718310986583,-0.4626137394441813,0.748480077333098,0.21461765744022354,1,0,0
Alexandre Sarr,-0.4545744071127067,-0.5308237303150435,-0.970845279687017,-0.25739430934022917,-0.6835778812576643,-0.9032528540175614,-1.1559900310196034,0.5419341804916141,-1.243968823513482,-1.7612628569727364,-0.941966859179007,0.4232880943148637,0,1,0
Anton Watson,-0.06790497038320299,-0.8728883502092457,-0.9085539540690375,0.09847488098296132,-0.26672450981956664,-0.1916816097462919,0.7109376835820187,-0.35010832092595373,-1.1728533392129306,0.2949315791141425,-0.8779347782505182,1.448008989681399,0,1,0
Antonio Reeves,-0.0863178007036555,1.7703382580641347,-0.09876672103530296,-1.1881291148008806,-0.9962179098362376,-0.6186243563090534,-1.057730677619518,-0.8115096147626265,-0.888391402010723,-0.5708344992382277,1.0046084010470533,-0.41139365318369614,1,0,0
Ariel Hukporti,-0.528225728394517,-1.277146537356939,-0.970845279687017,0.2900967526954482,0.150128861618531,-1.029754408554676,-0.9594713242194327,0.6649745255147268,-0.6750449491090675,1.268918417260558,-1.4286106742355218,1.0492994049387843,0,0,1
Baylor Scheierman,-0.7000788111399032,1.9983813375789787,-0.36177454058806685,-1.0238817961901774,2.535456486838282,0.9942704640391573,-0.042384025163573404,-0.8935365118548363,0.1783408624975545,-0.6069080865577148,0.6289535254128243,-0.4710137780050219,1,0,0
Blake Hinson,-1.41204158377624,1.272789720036204,-0.8047350780390715,-0.6406380527652032,-0.40567563363226594,-0.7451259108461682,-1.057730677619518,-0.565428924716401,-0.9595068863112748,1.3771391770546049,-0.40409737937970064,-1.111930119834274,1,0,0
Bobi Klintman,-1.3383902624944297,0.3398862112338347,-0.7216799772150987,-1.0238817961901774,0.08065329971218105,-1.029754408554676,-0.5664339106190911,-0.44238857969328826,-0.5328139805079638,1.0524768976724663,-0.941966859179007,-0.7243993084956564,0,1,0
